experiment,0,1,2,3
"[22,1,1]_test",6.8644517971965975,6.8644517971965975,6.8644517971965975,6.8644517971965975
"[22,1,1]_train",6.881752433930167,6.881752433930167,6.881752433930167,6.881752433930167
"[128,2,1]_test",6.5913365509221995,6.5913365509221995,6.5913365509221995,6.5913365509221995
"[128,2,1]_train",6.607014873959076,6.607014873959076,6.607014873959076,6.607014873959076
"[200,3,5]_test",5.698020479759442,5.698020479759442,5.698020479759442,5.698020479759442
"[200,3,5]_train",5.7494065268218,5.7494065268218,5.7494065268218,5.7494065268218
"[22,2,2]_test",5.690857020444692,5.690857020444692,5.690857020444692,5.690857020444692
"[22,2,2]_train",5.702983838979134,5.702983838979134,5.702983838979134,5.702983838979134
"[200,3,3]_test",5.374771406997185,5.374771406997185,5.374771406997185,5.374771406997185
"[200,3,3]_train",5.3961959461237266,5.3961959461237266,5.3961959461237266,5.3961959461237266
"[128,2,4]_test",5.6473427342359805,5.656841576954612,5.650248177787776,5.653253510230488
"[128,2,4]_train",5.6783452154621665,5.678273370504138,5.7482474494262545,5.669275361167541
"[200,1,1]_test",6.8644517971965975,6.8644517971965975,6.8644517971965975,6.8644517971965975
"[200,1,1]_train",6.881752433930167,6.881752433930167,6.881752433930167,6.881752433930167
"[128,1,5]_test",5.858439661171835,5.890781982942095,5.8950141932169995,5.8466880070716725
"[128,1,5]_train",5.900328227121378,5.954491415273731,5.941572369718953,5.925212258599593
"[22,1,2]_test",6.346055371443086,6.346055371443086,6.346055371443086,6.346055371443086
"[22,1,2]_train",6.327129471568629,6.327129471568629,6.327129471568629,6.327129471568629
"[200,2,2]_test",5.690857020444692,5.690857020444692,5.690857020444692,5.690857020444692
"[200,2,2]_train",5.702983838979134,5.702983838979134,5.702983838979134,5.702983838979134
"[200,1,4]_test",5.73669971399541,5.73669971399541,5.73669971399541,5.73669971399541
"[200,1,4]_train",5.796615971070987,5.796615971070987,5.796615971070987,5.796615971070987
"[22,3,4]_test",5.499531825427363,5.492374869035749,5.492523210899412,5.488779815014397
"[22,3,4]_train",5.499997641134317,5.500146128202748,5.5000751273142985,5.512382316024808
"[200,2,5]_test",5.739113007454666,5.739113007454666,5.739113007454666,5.739113007454666
"[200,2,5]_train",5.774948117646388,5.774948117646388,5.774948117646388,5.774948117646388
"[22,2,1]_test",6.5913365509221995,6.5913365509221995,6.5913365509221995,6.5913365509221995
"[22,2,1]_train",6.607014873959076,6.607014873959076,6.607014873959076,6.607014873959076
"[200,2,1]_test",6.5913365509221995,6.5913365509221995,6.5913365509221995,6.5913365509221995
"[200,2,1]_train",6.607014873959076,6.607014873959076,6.607014873959076,6.607014873959076
"[22,1,4]_test",5.873727541665383,5.878081018575013,5.90674200176339,5.90674200176339
"[22,1,4]_train",5.928941988444406,5.935544288026083,5.970519520269383,5.970519520269383
"[22,3,3]_test",5.3727146792835025,5.3727146792835025,5.373800822235754,5.373890487859881
"[22,3,3]_train",5.398303434898448,5.398303434898448,5.398303434898448,5.398303434898448
"[128,3,5]_test",5.37481544979114,5.386613091290467,5.277076071809559,5.474261524634257
"[128,3,5]_train",5.408104238597404,5.429952578944228,5.3467493171308575,5.5668872659661375
"[200,2,3]_test",6.0183145886721,6.0183145886721,6.0183145886721,6.0183145886721
"[200,2,3]_train",6.028572780285465,6.028572780285465,6.028572780285465,6.028572780285465
"[128,3,2]_test",5.479287201899423,5.479287201899423,5.479287201899423,5.479287201899423
"[128,3,2]_train",5.521550911752357,5.521550911752357,5.521550911752357,5.521550911752357
"[200,3,2]_test",5.479287201899423,5.479287201899423,5.479287201899423,5.479287201899423
"[200,3,2]_train",5.521550911752357,5.521550911752357,5.521550911752357,5.521550911752357
"[200,1,2]_test",6.346055371443086,6.346055371443086,6.346055371443086,6.346055371443086
"[200,1,2]_train",6.327129471568629,6.327129471568629,6.327129471568629,6.327129471568629
"[200,1,5]_test",5.900213779215534,5.900213779215534,5.900213779215534,5.900213779215534
"[200,1,5]_train",5.951478256145693,5.951478256145693,5.951478256145693,5.951478256145693
"[22,2,5]_test",5.6343379383475405,5.636648773326247,5.6494260098321245,5.646708180935581
"[22,2,5]_train",5.728281071320401,5.726554653433735,5.66254733231547,5.663299519720239
"[128,1,4]_test",5.914884522083453,5.762819253629532,6.6726807288971495,5.739770791206416
"[128,1,4]_train",5.978373757881927,5.831655545854593,6.671469714898855,5.787906613613882
"[128,2,2]_test",5.690857020444692,5.690857020444692,5.690857020444692,5.690857020444692
"[128,2,2]_train",5.702983838979134,5.702983838979134,5.702983838979134,5.702983838979134
"[128,3,3]_test",5.371332163368611,5.45805794431026,5.525440137197612,5.368972981707202
"[128,3,3]_train",5.4002378424806725,5.492204885077129,5.551567788227024,5.396525849495586
"[22,2,3]_test",6.022319683374842,6.022319683374842,6.020619860294416,6.020619860294416
"[22,2,3]_train",6.032764444078327,6.032189125522635,6.032189125522635,6.032764444078327
"[128,1,2]_test",6.346055371443086,6.346055371443086,6.346055371443086,6.346055371443086
"[128,1,2]_train",6.327129471568629,6.327129471568629,6.327129471568629,6.327129471568629
"[128,3,1]_test",6.569037301647191,6.569037301647191,6.569037301647191,6.569037301647191
"[128,3,1]_train",6.606276109006983,6.606276109006983,6.606276109006983,6.606276109006983
"[128,3,4]_test",5.553403818169603,5.590776239245599,5.6121341942008645,5.028063994376868
"[128,3,4]_train",5.586039139338584,5.59091142188599,5.6262465311357,5.036965344598239
"[22,1,5]_test",5.958385220597965,5.891302226009175,5.889031736329953,5.88855703663055
"[22,1,5]_train",6.0148385125576,5.947359318037329,5.94411473567496,5.944357715405442
"[128,2,3]_test",6.021909768365993,6.013007953570665,6.011164277386021,6.021509046994741
"[128,2,3]_train",6.029896601047747,6.010777723863237,6.018966443461412,6.03060364712817
"[22,3,2]_test",5.479287201899423,5.479287201899423,5.479287201899423,5.479287201899423
"[22,3,2]_train",5.521550911752357,5.521550911752357,5.521550911752357,5.521550911752357
"[200,1,3]_test",6.4972854952547365,6.4972854952547365,6.4972854952547365,6.4972854952547365
"[200,1,3]_train",6.498131442407909,6.498131442407909,6.498131442407909,6.498131442407909
"[22,3,5]_test",5.437597087958178,5.432672878235658,5.270868229713043,5.282616265571098
"[22,3,5]_train",5.497140116498149,5.511354496422173,5.315407873292467,5.319258749483266
"[200,3,1]_test",6.569037301647191,6.569037301647191,6.569037301647191,6.569037301647191
"[200,3,1]_train",6.606276109006983,6.606276109006983,6.606276109006983,6.606276109006983
"[22,3,1]_test",6.569037301647191,6.569037301647191,6.569037301647191,6.569037301647191
"[22,3,1]_train",6.606276109006983,6.606276109006983,6.606276109006983,6.606276109006983
"[128,1,1]_test",6.8644517971965975,6.8644517971965975,6.8644517971965975,6.8644517971965975
"[128,1,1]_train",6.881752433930167,6.881752433930167,6.881752433930167,6.881752433930167
"[128,1,3]_test",6.497115884104653,6.498509662881035,6.498271492814349,6.495178244768521
"[128,1,3]_train",6.496103181650509,6.498506713036147,6.500519642521504,6.498741710489339
"[22,1,3]_test",5.744165484699648,5.744165484699648,6.496638845444783,5.744165484699648
"[22,1,3]_train",5.806935708955306,5.806935708955306,6.496390488845919,5.806935708955306
"[200,3,4]_test",5.1812788684653155,5.1812788684653155,5.1812788684653155,5.1812788684653155
"[200,3,4]_train",5.194624737909319,5.194624737909319,5.194624737909319,5.194624737909319
"[128,2,5]_test",5.6413361214692355,5.561680201947756,5.711416514441086,5.6437556934639215
"[128,2,5]_train",5.608169882928708,5.536748326748279,5.784690069056944,5.668692789111369
"[200,2,4]_test",5.628762362222422,5.628762362222422,5.628762362222422,5.628762362222422
"[200,2,4]_train",5.658779536581039,5.658779536581039,5.658779536581039,5.658779536581039
