experiment,0,1,2,3
"[22,3,50]_test",4.9852635827952385,5.088761691119085,5.079374868439772,5.028490517587233
"[22,3,50]_train",2.760574275744566,2.7440262253570387,2.7449441353357846,2.7315275399954806
"[23,4,50]_test",4.922531166663161,4.892436468250689,4.90134671671392,4.847137028979052
"[23,4,50]_train",1.9750947829045709,1.9759184213065033,1.9719204947076385,1.9735405789051912
"[23,2,50]_test",5.472730654882498,5.388834792888541,5.468543159531729,5.442934355567709
"[23,2,50]_train",3.835701950223298,3.8468899193191404,3.84138869337015,3.8449083750133637
"[23,5,50]_test",4.925888381159966,4.7753762217800375,4.923860751478642,4.916904234095158
"[23,5,50]_train",1.4242347467111731,1.4180742319958508,1.4171253533703863,1.4192986271398025
"[22,5,50]_test",4.79737617677625,4.668615884162362,4.838178420411304,4.761780844152452
"[22,5,50]_train",1.425577637541163,1.422492388283886,1.4293827614659107,1.4244093947917649
"[23,3,50]_test",5.0266873087212405,5.104054897768911,4.9767241778954485,5.185075024190576
"[23,3,50]_train",2.7580603777207915,2.755953550497809,2.75461330538032,2.752050504870859
"[22,2,50]_test",5.414299428678076,5.495737210114216,5.473990452072896,5.440532059840057
"[22,2,50]_train",3.8397389969130074,3.8355513925910243,3.8518173227172556,3.829495804145659
"[22,4,50]_test",4.861487018450903,4.8659845683477725,4.879122512237212,4.91910064265088
"[22,4,50]_train",1.9684969119493383,1.9746705982239547,1.9776893291742705,1.9725835929720301
